Queries,Number of Overlapping Results,Percentage Overlap,Spearman Coefficient
Query 1,3,30.0,-7.25
Query 2,1,10.0,0
Query 3,3,30.0,-0.25
Query 4,2,20.0,-33.0
Query 5,1,10.0,0
Query 6,4,40.0,-9.8
Query 7,4,40.0,-4.5
Query 8,3,30.0,-14.5
Query 9,1,10.0,0
Query 10,2,20.0,-88.0
Query 11,4,40.0,-1.9
Query 12,2,20.0,-24.0
Query 13,5,50.0,-1.3
Query 14,2,20.0,-4.0
Query 15,1,10.0,0
Query 16,0,0.0,0
Query 17,2,20.0,-57.0
Query 18,0,0.0,0
Query 19,3,30.0,-5.5
Query 20,5,50.0,-0.55
Query 21,2,20.0,-9.0
Query 22,0,0.0,0
Query 23,3,30.0,-12.5
Query 24,0,0.0,0
Query 25,3,30.0,-4.5
Query 26,3,30.0,-1.25
Query 27,0,0.0,0
Query 28,4,40.0,-0.1
Query 29,2,20.0,-15.0
Query 30,1,10.0,0
Query 31,4,40.0,-5.5
Query 32,2,20.0,-25.0
Query 33,3,30.0,-8.5
Query 34,1,10.0,0
Query 35,1,10.0,0
Query 36,1,10.0,0
Query 37,3,30.0,-8.5
Query 38,4,40.0,-2.4
Query 39,1,10.0,0
Query 40,1,10.0,0
Query 41,3,30.0,-6.25
Query 42,2,20.0,-8.0
Query 43,5,50.0,-1.0
Query 44,1,10.0,0
Query 45,1,10.0,0
Query 46,2,20.0,-4.0
Query 47,0,0.0,0
Query 48,3,30.0,-15.5
Query 49,1,10.0,0
Query 50,2,20.0,-39.0
Query 51,4,40.0,-11.6
Query 52,2,20.0,-1.0
Query 53,3,30.0,-0.5
Query 54,1,10.0,0
Query 55,1,10.0,0
Query 56,2,20.0,-36.0
Query 57,1,10.0,0
Query 58,0,0.0,0
Query 59,1,10.0,0
Query 60,0,0.0,0
Query 61,1,10.0,0
Query 62,2,20.0,-57.0
Query 63,3,30.0,-9.5
Query 64,3,30.0,-18.5
Query 65,2,20.0,-19.0
Query 66,2,20.0,-3.0
Query 67,1,10.0,0
Query 68,1,10.0,0
Query 69,1,10.0,0
Query 70,3,30.0,-13.5
Query 71,1,10.0,0
Query 72,3,30.0,-1.0
Query 73,1,10.0,1
Query 74,1,10.0,0
Query 75,3,30.0,-3.5
Query 76,2,20.0,-19.0
Query 77,3,30.0,-6.25
Query 78,1,10.0,0
Query 79,0,0.0,0
Query 80,2,20.0,-49.0
Query 81,5,50.0,0.8
Query 82,1,10.0,0
Query 83,4,40.0,-1.2
Query 84,1,10.0,0
Query 85,2,20.0,-49.0
Query 86,2,20.0,-31.0
Query 87,3,30.0,-2.5
Query 88,0,0.0,0
Query 89,4,40.0,-1.4
Query 90,3,30.0,-3.0
Query 91,3,30.0,-6.25
Query 92,0,0.0,0
Query 93,3,30.0,-8.5
Query 94,3,30.0,-12.5
Query 95,0,0.0,0
Query 96,2,20.0,-15.0
Query 97,1,10.0,1
Query 98,1,10.0,0
Query 99,1,10.0,0
Query 100,3,30.0,-17.5
