url,size_of_downloaded_page (in bytes),number_of_outlinks,content_type
https://www.latimes.com/,682065,352,text/html
https://www.latimes.com/espanol/,424122,182,text/html
https://www.latimes.com/gift-subscription-terms,246014,133,text/html
https://www.latimes.com/california/story/2023-03-06/newsom-says-california-cut-business-ties-with-walgreens-over-abortion-pill-access,266495,165,text/html
https://www.latimes.com/california/story/2023-03-05/la-black-church-struggles-to-find-answers-after-fire,386579,176,text/html
https://www.latimes.com/food/list/best-los-angeles-restaurants-to-visit-march-2023,396502,202,text/html
https://www.latimes.com/espanol/etiqueta/salud,298593,115,text/html
https://www.latimes.com/lifestyle,427719,221,text/html
https://www.latimes.com/espanol/california/articulo/2023-03-01/gavin-newsom-esta-reduciendo-la-ayuda-estatal-para-servicios-sanitarios-a-los-inmigrantes,228891,106,text/html
https://www.latimes.com/entertainment-arts/tv/story/2023-03-06/sara-lane-death-virginian-elizabeth-grainger-breast-cancer,281893,166,text/html
https://www.latimes.com/espanol/vida-y-estilo/articulo/2023-03-06/galapagos-hay-46-000-iguanas-amarillas-en-isla-deshabitada,225239,100,text/html
https://www.latimes.com/espanol/internacional/articulo/2023-02-21/diluvio-en-brasil-deja-44-muertos-y-decenas-de-desaparecidos,217139,100,text/html
https://www.latimes.com/espanol/internacional/articulo/2023-03-06/venezuela-recuerda-a-hugo-chavez-con-marchas-y-foros,215451,98,text/html
https://www.latimes.com/business/story/2023-01-05/walgreens-cvs-abortion-pill,267603,158,text/html
https://www.latimes.com/lifestyle/story/2023-03-03/la-affairs-i-got-divorced-married-men-react,270934,160,text/html
https://www.latimes.com/people/thomas-curwen,228487,148,text/html
https://www.latimes.com/espanol/eeuu/articulo/2023-03-05/un-activista-en-nueva-york-cree-innecesario-el-refrigerador,220693,98,text/html
https://www.latimes.com/espanol/internacional/articulo/2023-03-06/descubren-estatua-y-santuario-antiguos-en-sur-de-egipto,206569,98,text/html
https://www.latimes.com/espanol/eeuu/articulo/2023-02-26/eeuu-preve-limitar-prescripcion-de-farmacos-a-distancia,216724,100,text/html
https://www.latimes.com/espanol/etiqueta/nota-roja,278854,111,text/html
https://www.latimes.com/world-nation/newsletter/2023-03-02/in-praise-of-jenna-ortega-aubrey-plaza-and-moody-deadpan-latinas-latinx-files,263609,161,text/html
https://www.latimes.com/espanol/california/articulo/2023-03-06/como-evitar-que-la-gente-entre-y-salga-de-la-carcel-muchos-opinan-que-facilitando-el-acceso-a-servicios,275474,118,text/html
https://www.latimes.com/entertainment-arts/story/2022-09-28/katie-couric-breast-cancer-diagnosis-treatment,283937,170,text/html
https://www.latimes.com/food/newsletter/2023-02-04/cantonese-french-toast-needle-silver-lake-tasting-notes,274449,170,text/html
https://www.latimes.com/entertainment-arts/story/2023-03-07/selena-gomez-hailey-bieber-kylie-jenner-eyebrows-timeline,282502,181,text/html
https://www.latimes.com/california/story/2023-03-05/firefighters-battle-to-save-victory-baptist-church,284308,159,text/html
https://www.latimes.com/lifestyle/story/2022-08-04/friendship-in-los-angeles,271297,159,text/html
https://www.latimes.com/espanol/internacional/articulo/2023-02-24/expertos-amenaza-de-gripe-aviar-es-baja,203545,95,text/html
https://www.latimes.com/espanol/internacional/articulo/2023-03-05/naufragio-en-italia-como-ocurrio-y-preguntas-sin-respuesta,242304,100,text/html
https://www.latimes.com/espanol/etiqueta/medio-ambiente,296341,114,text/html
https://www.latimes.com/espanol/comida,301257,119,text/html
https://www.latimes.com/subscriptions/newsletters.html?utm_source=email&utm_medium=EM&utm_campaign=PNL21&utm_content=latinx,34759,22,text/html
https://www.latimes.com/espanol/california/boletin-informativo/2022-12-29/kiosco-digital-caos-en-el-aeropuerto-de-los-angeles-kiosco-digital,202765,103,text/html
https://www.latimes.com/espanol/eeuu/articulo/2023-02-26/jill-biden-habla-sobre-sexo-seguro-con-jovenes-en-kenia,215413,99,text/html
